Year,Month,Close,Volume,Date
2024,11,819.9694447758612,3422406.1075513475,2024-11-01
2024,12,870.4477464321432,3650314.5608162787,2024-12-01
2025,1,917.0525952683362,3944763.9382883934,2025-01-01
2025,2,960.9488170827132,4225288.068273975,2025-02-01
2025,3,1007.2102921618784,4374301.352744004,2025-03-01
2025,4,1059.0697482093997,4315347.840916351,2025-04-01
2025,5,1112.1978738565892,4090777.019113612,2025-05-01
2025,6,1155.1241518291154,3867044.027284667,2025-06-01
2025,7,1175.6918056941188,3870112.264398846,2025-07-01
2025,8,1167.4886526038224,4298141.944632263,2025-08-01
2025,9,1133.6007425716064,5196130.785773039,2025-09-01
2025,10,1088.8937774861934,6307177.963447964,2025-10-01
2025,11,1056.972172960402,7096296.6648923345,2025-11-01
